id,image_url,query,answers
train_0,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_0.jpg,what is the date mentioned in this letter?,['1/8/93']
train_1,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_1.jpg,Who is in  cc in this letter?,['T.F. Riehl']
train_2,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_2.jpg,what is the subject of  this letter?,['Review of existing Brainstorming Ideas/483']
train_3,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_3.jpg,"What is the number at the bottom of the page, in bold?",['499150498']
train_4,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_4.jpg,How many points are there in modifications to readout instrumentation,"['5.', '5']"
train_5,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_5.jpg,what is the date in the letter,"['June 11, 1990', 'June 11,1990']"
train_6,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_6.jpg,Who sent the letter?,['Ted Sanders']
train_7,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_7.jpg,Which part of Virginia is this letter sent from,['Richmond']
train_8,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_8.jpg,What sort of communication/letter is this ?,['INTER-OFFICE CORRESPONDENCE']
train_9,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_9.jpg,What is the date mentioned in the letter?,"['April 27, 1990']"
train_10,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_10.jpg,Which test is used to evaluate ART menthol levels that has been shipped?,['A second Danchi Test']
train_11,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_11.jpg,What is the subject of the document/letter?,"['Flavor Development Monthly Summary for April, 1990']"
train_12,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_12.jpg,what is the index for Retention of Franchise,"['100', '(100)']"
train_13,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_13.jpg,What is the source,"['USMM 1/95-6/95, 12-Month Data']"
train_14,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_14.jpg,The number mentioned on the right of the leftside margin?,['314002838']
train_15,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_15.jpg,what mm Marlboro Menthol were subjectively smoked by the Richmond Panel,['80mm and 83mm']
train_16,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_16.jpg,Cigarettes will be produced and submitted to O/C Panel for what purpose?,['evaluation of lip release']
train_17,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_17.jpg,Another model of the 83mm with zero ventilation will be made at Semiworks within how many weeks,"['next 2-3 weeks', 'within the next 2-3 weeks', '2-3 weeks']"
train_18,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_18.jpg,"Under BOLD, primary production of Blend #24- will be completed by which date",['6/7/90']
train_19,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_19.jpg,"During the process of prototype production and ringtipping, some cigarettes were observed to have burn holed in which paper","['Cigarette paper', 'cigarette paper']"
train_20,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_20.jpg,Where was the conference held?,"['B&W headquarters', 'B&W Headquarters']"
train_21,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_21.jpg,How many distinct mechanisms appear to play a role in the breakup of a smoke column into a multi-dimensional flowfield?,"['At least two', 'Two']"
train_22,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_22.jpg,One variable that has implicitly not been controlled?,"['influence of the test chamber (glass mouth) geometry.', 'The influence of the test chamber (glass mouth) geometry']"
train_23,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_23.jpg,Which hetero-atoms  does polar compounds contain?,"['nitrogen, sulfur and oxygen.', 'NITROGEN, SULFUR AND OXYGEN']"
train_24,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_24.jpg,What is the full form of POVC?,['POLAR VOLATILE ORGANICS']
train_25,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_25.jpg,What is the slope mentioned in the first table?,['0.1088102E+01']
train_26,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_26.jpg,What is the date mentioned in the second table?,['05-12-92']
train_27,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_27.jpg,Where were the two magnesium containing  papers made at?,['University of Maine']
