id,query,answers
train_0,what is the date mentioned in this letter?,['1/8/93']
train_1,Who is in  cc in this letter?,['T.F. Riehl']
train_2,what is the subject of  this letter?,['Review of existing Brainstorming Ideas/483']
train_3,"What is the number at the bottom of the page, in bold?",['499150498']
train_4,How many points are there in modifications to readout instrumentation,"['5.', '5']"
train_5,what is the date in the letter,"['June 11, 1990', 'June 11,1990']"
train_6,Who sent the letter?,['Ted Sanders']
train_7,Which part of Virginia is this letter sent from,['Richmond']
train_8,What sort of communication/letter is this ?,['INTER-OFFICE CORRESPONDENCE']
train_9,What is the date mentioned in the letter?,"['April 27, 1990']"
train_10,Which test is used to evaluate ART menthol levels that has been shipped?,['A second Danchi Test']
train_11,What is the subject of the document/letter?,"['Flavor Development Monthly Summary for April, 1990']"
train_12,what is the index for Retention of Franchise,"['100', '(100)']"
train_13,What is the source,"['USMM 1/95-6/95, 12-Month Data']"
train_14,The number mentioned on the right of the leftside margin?,['314002838']
train_15,what mm Marlboro Menthol were subjectively smoked by the Richmond Panel,['80mm and 83mm']
train_16,Cigarettes will be produced and submitted to O/C Panel for what purpose?,['evaluation of lip release']
train_17,Another model of the 83mm with zero ventilation will be made at Semiworks within how many weeks,"['next 2-3 weeks', 'within the next 2-3 weeks', '2-3 weeks']"
train_18,"Under BOLD, primary production of Blend #24- will be completed by which date",['6/7/90']
train_19,"During the process of prototype production and ringtipping, some cigarettes were observed to have burn holed in which paper","['Cigarette paper', 'cigarette paper']"
train_20,Where was the conference held?,"['B&W headquarters', 'B&W Headquarters']"
train_21,How many distinct mechanisms appear to play a role in the breakup of a smoke column into a multi-dimensional flowfield?,"['At least two', 'Two']"
train_22,One variable that has implicitly not been controlled?,"['influence of the test chamber (glass mouth) geometry.', 'The influence of the test chamber (glass mouth) geometry']"
train_23,Which hetero-atoms  does polar compounds contain?,"['nitrogen, sulfur and oxygen.', 'NITROGEN, SULFUR AND OXYGEN']"
train_24,What is the full form of POVC?,['POLAR VOLATILE ORGANICS']
train_25,What is the slope mentioned in the first table?,['0.1088102E+01']
train_26,What is the date mentioned in the second table?,['05-12-92']
train_27,Where were the two magnesium containing  papers made at?,['University of Maine']
train_28,Which base paper will be coated in-house with various levels of mono potassium phosphate and malonic acid in order to optimize the system?,"['091', 'The 091 Base paper']"
train_29,which cigarette would be better if offered on a thicker cigarette,"['low smoke cigarette', 'These smokers said that a low smoke cigarette would be better if offered on a thicker cigarette', 'low smoke']"
train_30,Hand sheets were made utilizing a 30% level of which component?,"['high surface area magnesium carbonate semihydrate made by the pyrolysis of magnesium ammonium carbonate', 'a high surface area magnesium carbonate semihydrate made by the pyrolysis of magesium ammonium carbonate', 'a high surface area magnesium carbonate semihydrate']"
train_31,How much percent had not noticed any difference in the odor of VSSS,"['Over Fifty percent', 'over fifty percent']"
train_32,who were bothered by cigarette odors,"['Nonsmokers', 'nonsmokers', 'Nonsmokers were bothered by cigarette odors']"
train_33,What is the cigarette code of RIP-6(W/O Filter) 21/4SE,['P4049-99(5C)']
train_34,What is the subject?,"['reduced ignition propensity/498', 'Reduced Ignition Propensity/498']"
train_35,What is the meeting date?,"['January 24, 1994', 'January 24 , 1994']"
train_36,How many one-on-one  interviews were completed during April 10th through the April 12th?,['forty']
train_37,"According to the listed requirements , what must be the age group of female smokers?",['between the ages of 18 and 55']
train_38,According to the requirements what is the minimum required consumption of a regular brand?,['1/2 pack']
train_39,How many focus groups were held?,['Two']
train_40,"Which interviews covered the same topics, except packaging, that were discussed in groups?","['The one-on-one', 'The one-on-one interviews', 'one-on-one interviews']"
train_41,What is the Best Prototype mentioned?,['327391']
train_42,What is the LBS AT TARGET of TOTAL STRIPS?,"['10,000.0 @ 15.0 %']"
train_43,What is the SOLID LBS of T2F GRADE?,"['510.0', '510']"
train_44,To whom is this letter addressed?,['mr. roger jennings']
train_45,What is the subject of the letter?,"['effect of chemical stimulation on the perception of draw', 'Effect of Chemical Stimulation on the Perception of Draw']"
train_46,When did the Human Research Committee meet to consider the proposal?,"['November 27, 1990']"
train_47,For what does the Bristol tippings have high ink weights for?,"['Cork-on-white tipping', 'cork-on-white tipping']"
