id,image_url,caption,class
image_0,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image0.jpg,The image contains a letter from Brown & Williamson Tobacco Corporation to Mr. K. Yesselstein. The letter discusses a previous letter from Mr. Yesselstein and a sample of AMSPIN. The letter is classified as a letter.,letter
image_1,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image1.jpg,"The image contains an invoice from a radio advertising company. It is addressed to Mr. Rob Allen of WAVR Radio in Miami Beach, Florida. The invoice is dated March 19, 1979. The invoice lists the charges for radio advertising that was aired on the station. The total cost of the advertising is $432.00.",invoice
image_2,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image2.jpg,Nancy is scheduling a meeting to discuss the SCOR audit process with her colleagues.,email
image_3,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image3.jpg,Valerie is requesting revised project summary lists from her colleagues with a deadline of December 16th.,email
image_4,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image4.jpg,A letter from Coro Inc. to the Brown & Williamson Tobacco Corp. proposing a collaboration on a jewelry line using the Sail Fish logo.,letter
image_5,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image5.jpg,A print production estimate from Ted Bates New York advertising for the Brown & Williamson Tobacco Corporation.,invoice
image_6,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image6.jpg,A scientific paper discussing the non-linear dose-response hypothesis of environmental tobacco smoke and cardiovascular disease.,letter
image_7,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image7.jpg,A letter from Robert C. Hockett to Dr. Haffenshiel discussing nicotine tartrate ampoules and sublingual tablets.,letter
image_8,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image8.jpg,"A curriculum vitae for Maurizio Zanetti, M.D., detailing his education, professional experience, and personal information.",resume
image_9,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image9.jpg,"An invoice for photography services, including expenses for film and processing, as well as fees for the photographer and agency",invoice
image_10,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image10.jpg,An email regarding the advertising agency for Camel cigarettes and their recent campaigns.,email
image_11,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/image11.jpg,A letter from Diamond Alkali Company to the American Tobacco Company regarding the use of ion-exchange resins in cigarette filters.,letter
